id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,modularity_class,pageranks,componentnumber,strongcompnum,atp count,qual count,future count,comp color
2176,Yahor Yatsyk,,16,44,60,17.0,46.0,63.0,0,5.416780365647147E-5,0,9,0,3,60,dark green
2177,Pablo Mora,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,1191,0,0,1,green
2178,Ulises Blanch,,1,3,4,1.0,3.0,4.0,4,1.502493363514043E-5,0,9,0,0,4,green
2179,Tugay Koylu,,2,6,8,2.0,6.0,8.0,0,1.600986471268699E-5,0,9,0,1,7,dark green
2180,Sergi Duran,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,1192,0,0,1,purple
2181,Timur Isaev,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,1193,0,0,1,blue
2182,David Marrero,,173,121,294,217.0,164.0,381.0,1,6.943233708444395E-4,0,9,9,188,184,brown
2183,Sherif Hamdy,,0,3,3,0.0,3.0,3.0,1,1.3162540327839612E-5,0,1194,0,0,3,brown
2184,Luciano Pitzurra,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,1195,0,0,1,purple
2185,Fernando Tomas Navarro,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,1196,0,0,1,green
2186,Aziz Avloev,,0,1,1,0.0,1.0,1.0,0,1.3162540327839612E-5,0,1197,0,0,1,dark green
2187,Omar Khalil,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,1198,0,0,1,green
2188,Gustavo Kuerten,,9,23,32,9.0,25.0,34.0,3,5.463511557677467E-5,0,9,28,6,0,red
2189,Kaya Gore,,0,2,2,0.0,2.0,2.0,0,1.3162540327839612E-5,0,1199,0,0,2,dark green
2190,Martin Nogueira,,0,2,2,0.0,2.0,2.0,4,1.3162540327839612E-5,0,1200,0,0,2,green
2191,Steven Forman,,0,3,3,0.0,3.0,3.0,4,1.3162540327839612E-5,0,1201,0,0,3,green
2192,Dusan Mihailovic,,32,41,73,33.0,47.0,80.0,5,1.1566617390337263E-4,0,9,0,0,80,purple
2193,Gabriel Meana Fernandez,,0,2,2,0.0,2.0,2.0,1,1.3162540327839612E-5,0,1202,0,0,2,brown
